SheetID	CateName
20160101WDGCP00210000395	甜面包
20160101WDGCP00210000396	辣椒酱类
20160101WDGCP00210000396	牛肉味面
20160101WDGCP00210000397	桃
20160101WDGCP00210000398	口香糖
20160101WDGCP00210000399	苹果
20160101WDGCP00210000399	调味菜
20160101WDGCP00210000400	苹果
20160101WDGCP00210000400	其它豆制品
20160101WDGCP00210000401	苹果
20160101WDGCP00210000403	面粉
20160101WDGCP00210000405	糖
20160101WDGCP00210000406	其它豆制品
20160101WDGCP00210000408	晾衣架
20160101WDGCP00210000408	晾衣架
20160101WDGCP00210000409	苹果
20160101WDGCP00210000413	散装火锅食品
20160101WDGCP00210000413	水产联营
20160101WDGCP00210000413	晾衣架
20160101WDGCP00210000413	晾衣架
20160101WDGCP00210000415	柑桔类
20160101WDGCP00210000415	柑桔类
20160101WDGCP00210000415	葡萄类
20160101WDGCP00210000416	成人牙膏
20160101WDGCP00210000416	柑桔类
20160101WDGCP00210000416	哈蜜瓜
20160101WDGCP00210000421	柑桔类
20160101WDGCP00210000422	苹果
20160101WDGCP00210000422	柑桔类
20160101WDGCP00210000422	洗衣粉
20160101WDGCP00510000090	其他水果
20160101WDGCP00510000091	根茎菜
20160101WDGCP00510000094	根茎菜
20160101WDGCP00510000094	桃
20160101WDGCP00510000094	苹果
20160101WDGCP00510000095	叶菜
20160101WDGCP00510000095	肉类联营
20160101WDGCP00510000096	根茎菜
20160101WDGCP00510000097	根茎菜
20160101WDGCP00510000097	调味菜
20160101WDGCP00510000099	散装滋补药材类
20160101WDGCP00510000100	散装豆干
20160101WDGCP00510000102	根茎菜
20160101WDGCP00510000102	肉类联营
20160101WDGCP00510000103	牛肉味面
20160101WDGCP00510000103	牛肉味面
20160101WDGCP00510000104	根茎菜
20160101WDGCP00510000105	黄豆
20160101WDGCP00510000105	面粉
20160101WDGCP00510000105	面粉
20160101WDGCP00510000105	面粉
20160101WDGCP00510000105	面粉
20160101WDGCP00510000107	根茎菜
20160101WDGCP00510000107	面粉
20160101WDGCP00510000107	其它豆制品
20160101WDGCP00510000108	根茎菜
20160101WDGCP00510000108	根茎菜
20160101WDGCP00510000108	调味菜
20160101WDGCP00510000113	苹果
20160101WDGCP00510000113	哈蜜瓜
20160101WDGCP00510000114	柑桔类
20160101WDGCP00510000114	米醋类
20160101WDGCP00510000114	面粉
20160101WDGCP00510000115	柑桔类
20160101WDGCP00510000118	其他水果
20160101WDGCP00510000118	甜面包
20160101WDGCP00510000119	萝卜类
20160101WDGCP00510000119	萝卜类
20160101WDGCP00510000121	肉类联营
20160101WDGCP00510000123	盒装咖啡
20160101WDGCP00510000123	盒装咖啡
20160101WDGCP00510000125	核桃粉
20160101WDGCP00510000127	散装火锅食品
20160101WDGCP00510000130	柑桔类
20160101WDGCP00510000132	葵花油
20160101WDGCP00510000134	药膳炖鸡
20160101WDGCP00510000136	根茎菜
20160101WDGCP00510000136	水产联营
20160101WDGCP00510000137	糖
20160101WDGCP00510000138	味精类
20160101WDGCP00510000138	柑桔类
20160101WDGCP00510000139	根茎菜
20160101WDGCP00510000141	鸡蛋类
20160101WDGCP00510000143	儿童牙刷
20160101WDGCP00510000143	其它海产品
20160101WDGCP00510000145	根茎菜
20160101WDGCP00510000145	根茎菜
20160101WDGCP00510000145	根茎菜
20160101WDGCP00510000145	根茎菜
20160101WDGCP00510000146	其它豆制品
20160101WDGCP00510000147	散装丁优米
20160101WDGCP00510000147	其他水果
20160101WDGCP00510000047	水产联营
20160101WDGCP00510000048	结球类
20160101WDGCP00510000048	其他水果
20160101WDGCP00510000051	结球类
20160101WDGCP00510000054	根茎菜
20160101WDGCP00510000055	根茎菜
20160101WDGCP00510000056	结球类
20160101WDGCP00510000056	根茎菜
20160101WDGCP00510000056	散装蛋糕
20160101WDGCP00510000057	根茎菜
20160101WDGCP00510000057	结球类
20160101WDGCP00510000058	散装花生类
20160101WDGCP00510000058	组合软抽类
20160101WDGCP00510000061	结球类
20160101WDGCP00510000062	硬糖
20160101WDGCP00510000062	散装植物海鲜
20160101WDGCP00510000065	盒装蛋
20160101WDGCP00510000066	根茎菜
20160101WDGCP00510000068	结球类
20160101WDGCP00510000069	结球类
20160101WDGCP00510000069	根茎菜
20160101WDGCP00510000070	调味菜
20160101WDGCP00510000071	结球类
20160101WDGCP00510000072	其他水果
20160101WDGCP00510000073	豆制品干货
20160101WDGCP00510000073	结球类
20160101WDGCP00510000074	肉类联营
20160101WDGCP00510000077	包装肉松类
20160101WDGCP00510000078	根茎菜
20160101WDGCP00510000079	结球类
20160101WDGCP00510000148	散装丁优米
20160101WDGCP00510000151	根茎菜
20160101WDGCP00510000151	根茎菜
20160101WDGCP00510000151	其它豆制品
20160101WDGCP00510000151	煮混合口味煮面
20160101WDGCP00510000152	鸡精类
20160101WDGCP00510000152	散装植物海鲜
20160101WDGCP00510000152	肉类联营
20160101WDGCP00510000153	叶菜
20160101WDGCP00510000153	根茎菜
20160101WDGCP00510000079	肉类联营
20160101WDGCP00510000079	食用菌类
20160101WDGCP00510000079	食用菌类
20160101WDGCP00510000080	其他水果
20160101WDGCP00510000081	结球类
20160101WDGCP00510000081	根茎菜
20160101WDGCP00510000081	根茎菜
20160101WDGCP00510000081	其他水果
20160101WDGCP00510000082	结球类
20160101WDGCP00510000082	豆制品干货
20160101WDGCP00510000082	其它可食粉
20160101WDGCP00510000085	肉类联营
20160101WDGCP00510000085	肉类联营
20160101WDGCP00510000086	散装滋补药材类
20160101WDGCP00510000086	柑桔类
20160101WDGCP00510000087	散装花生类
20160101WDGCP00510000088	其它豆
20160101WDGCP00510000088	散装滋补药材类
20160101WDGCP00510000088	散装蛋糕
