ORF,Ca_5_min,Ca_15_min,Ca_30_min,Ca_60_min,Ca_FK506_5_min,Ca_FK506_15_min,Ca_FK506_30_min,Ca_FK506_60_min,Ca_Ca_FK506_15_min,Ca_Ca_FK506_30_min,crz1_Ca_15_min,crz1_Ca_30_min,Na_15_min,Na_30_min,Na_45_min,Na_60_min,Na_FK506_15_min,Na_FK506_30_min,Na_FK506_45_min,Na_FK506_60_min,Na_Na_FK506_30_min,Na_Na_FK506_45_min,crz1_Na_30_min,crz1_Na_45_min
YMR042W,0.099336665,0.298509148,-0.201454166,-0.393012686,-0.026405647,0.177691387,0.074694533,-0.21181667,-0.237580995,-0.145194573,0.347152265,0.35265152,0.238,-0.009,-0.299,-0.206,-0.089,-0.035,-0.235,-0.378,-0.313159186,-0.215652163,-0.385679747,0.298125109
YBR249C,-0.296579119,-0.981499606,-0.519273099,-0.176625013,0.278794692,-0.074783402,-0.338370335,0.540289216,0.063762119,0.384100157,0.214343059,-0.072480505,0.287,-0.59,-1.761,-1.352,-0.013,-0.74,-1.88,-1.925,0.39418333,-0.033454963,0.309154713,0.340601963
YGL202W,-0.155624886,-0.251097727,0.389618612,0.322000884,-0.127664218,-0.220525593,0.212875933,0.521664254,-0.152813806,-0.431052198,0.271247305,0.08691247,0.849,0.056,-0.472,,0.786,-0.104,-0.485,-0.55,0.375049906,-0.027730355,0.110138528,-0.068314263
YPR060C,-0.424,-0.335012686,-0.630638789,-0.073266775,0.072000884,-0.628670893,-0.522,-0.279334738,0.016010373,0.341669591,0.315001386,0.153199617,-0.244,-0.554,-0.717,-0.873,-0.109,-0.298,-0.815,-1.129,0.258476186,0.361802581,0.155,0.510463778
YGL148W,-0.20694614,-0.863329138,-0.881593273,-0.302007534,-0.496913337,-1.172837437,-0.763,-0.091995478,-0.256844295,0.03552504,0.320152834,0.102048131,-0.034,-1.601,-2.678,-1.939,-0.103,-1.543,-2.648,-2.792,0.352096804,-0.183182395,0.401709551,0.127320911
YDR035W,0.104529165,0.639271697,0.630645643,0.223291449,0.27007619,0.936752279,1.245801826,1.046116415,-0.263026694,-0.143461791,0.0914191,0.218500394,-0.467,-0.779,-0.716,-0.176,-0.108,-0.864,-0.909,-0.379,0.029619253,0.384575412,-0.093908402,-0.11709875
YDR127W,-0.475542594,-0.574922022,-0.155015084,-0.154575489,-0.13558217,-0.814412111,-0.52959155,-0.404136347,-0.274298302,-0.237783065,0.115008664,-0.090874891,-0.491,-0.49,-0.38,-0.4,0.01,-0.41,-0.46,-0.03,-0.214991336,0.000554447,-0.169688106,-0.213051401
YHR137W,1.18940845,1.555434323,1.044214148,-0.427508247,0.579965272,1.587984916,0.734798358,-1.519994455,0.074038904,0.02838623,0.969645556,1.31057807,1.861,3.612,3.868,3.554,1.092,2.929,3.489,3.67,0.20485338,-0.260146155,-0.776,0.256881884
YPR201W,-0.05014662,0.198500394,0.047853845,-0.187,0.018,0.070249249,,-0.30904301,-0.27143288,-0.577759723,-0.174416737,-0.128,0.16,1.227,0.89,0.71,0.335,1.035,0.743,0.76,-0.534293262,-0.176752695,-0.057536222,-0.211497834
YPR200C,0.347891872,0.422172485,-0.069199195,-0.286663335,0.514273215,-0.115324554,-0.325144135,0.196583263,0.050331819,-0.044427134,-0.093467487,-0.185028229,0.129,0.458,0.206,-0.228,0.301,0.911,0.294,0.028,-0.000695211,0.164881884,0.380125725,0.423631781
YGR124W,0.465077978,0.696048131,0.786782208,0.336463778,0.052045232,0.299745298,0.445077978,0.071301342,-0.865585032,-0.941182395,-0.250874891,-0.639133739,0.073,-0.708,-1.015,-0.458,0.316,-0.729,-1.216,-0.745,0.085701698,-0.214922022,-0.176845444,-0.18
YPR145W,-0.150112161,0.18790125,-0.30642856,-0.952728303,-0.14170406,0.052269722,-0.157785852,-0.686322355,-0.699150815,-0.738810516,0.418500087,-0.207398037,,-1.603,-1.636,-0.573,0.149,-1.511,-1.802,-1.036,-0.21508495,-0.767479766,-0.522034725,-0.722324554
YDR321W,-0.740972958,-1.847005506,-1.870495754,-0.717763028,-1.007536222,-1.708695211,-1.639293262,-0.044397248,-0.254599246,0.25076208,0.127032093,-0.351454166,0.451,-0.615,-1.545,-1.734,0.145,-1.058,-1.536,-2.252,0.353158697,-0.164525165,0.284220976,0.275067546
YLR155C,0.463417267,0.962335782,0.599680641,0.595799656,0.490438021,,0.485,0.091,0.105853845,-0.057349307,0.273670862,0.44657807,-0.141,-0.593,-0.509,-0.678,-0.1,-0.479,-0.898,-0.761,0.063375114,-0.008016229,0.074361211,-0.107407222
YLR157C,0.470182731,0.950592778,0.685606067,0.609336665,0.632983959,0.86849042,0.234744047,0.663,0.420270673,-0.072309598,0.400602752,0.402697545,-0.346,-0.648,-0.676,-0.79,-0.253,-0.623,-0.927,-0.931,0.312189484,0.0730937,0.233274475,0.097361211
YLR158C,1.076491753,1.328273215,1.384449583,0.864783897,0.37519868,0.844,0.224383669,0.258,-0.415697358,-0.528035051,0.04537976,0.343100157,0.01,-0.21,-0.304,-0.531,-0.028,-0.35,-0.706,-0.619,0.048964289,-0.320253627,-0.272038327,-0.372991336
YLR160C,0.983329107,1.309689324,1.079798358,0.719443508,0.255500087,0.611,0.182,0.366,-0.301655295,-0.397065568,-0.009500609,0.3380785,0.016,-0.213,-0.469,-0.503,0.005,-0.36,-0.524,-0.545,-0.037308613,-0.167656941,-0.255670893,-0.439409893
YLR027C,0.255500394,0.34405386,0.432590107,0.143449113,-0.029599246,0.104967601,0.371809317,-0.032,0.048199617,0.098109686,0.615500087,0.554554447,0.509,0.207,0.188,0.244,0.28,0.313,0.102,0.118,0.264281365,0.095510484,0.146587371,0.146594353
YKL106W,-0.724727324,-0.751417488,-0.475341522,-0.321405647,-0.286308613,-0.896134677,-1.041,-0.389987523,-0.418448385,-0.357468722,-0.185198415,-0.290650975,-0.948,-0.393,0.02,-0.017,-0.629,-0.167,0.244,-0.068,0.150785385,-0.450038327,-0.396349919,0.245987314
YOR035C,1.160786038,1.432928449,1.024040674,0.236289216,0.226935667,,0.383726609,0.571,-1.293038586,-1.157393933,-0.899240338,-0.748329172,-0.473,0.348,0.704,0.169,-0.255,0.274,0.532,0.78,-0.436531275,-0.150102995,-0.546,-0.561063275
YDR377W,0.391189484,0.778038904,0.609335782,0.566939394,0.576724976,1.187,1.094795892,0.52615094,0.525030292,0.779,0.753449113,0.760986377,-0.386,-0.837,-0.419,-0.374,-0.367,-0.737,-0.827,-0.362,0.571038904,0.513030292,0.21567368,0.072800805
YGR008C,1.747,2.269086547,2.162606067,1.208125725,2.167645643,2.930311419,2.522750915,0.859744719,0.199611269,-0.036688106,0.026422716,-0.250666968,0.449,2.15,2.784,2.708,0.326,1.767,2.067,2.355,-0.177913453,0.592677088,-0.489961336,-0.32181667
YPL078C,0.45020744,0.658406727,0.59670894,0.679626474,0.020973306,0.626189484,0.496083671,-0.172425871,0.40179211,0.53116556,0.251001386,0.332531278,0.162,-0.275,0.076,0.098,0.089,-0.283,-0.228,-0.407,0.252125569,0.020158697,-0.121407222,-0.43615614
YPL271W,-0.00803995,0.308000347,0.745947834,0.830189484,0.168822376,0.207037251,0.764029998,0.21948127,0.494189249,0.819675446,0.778,0.602012412,-0.119,-0.366,-0.281,-0.119,-0.501,-0.514,-0.354,-0.394,0.391685814,0.377348312,0.28,0.102781486
YLR393W,,,-0.108,0.316,,-1.27,,,-0.187947462,-0.231,,0.169,-0.065,0.785,0.43,0.445,-0.789,0.122,0.434,0.461,-0.3760526,-0.613580427,-0.203991336,0.072810431
YJL180C,0.270532513,0.355500394,0.334575998,0.054206087,-0.227370335,0.426,0.450759666,-0.188,0.089824645,0.108545037,-0.0145809,0.322561742,-0.423,-0.062,0.011,0.268,-0.267,0.074,-0.253,-0.165,-0.115880168,-0.130591417,-0.203684926,-0.125958065
YNL315C,0.230726609,0.398331819,0.435281815,-0.09182661,0.144551615,0.621743368,0.503963944,0.093724476,-0.063381388,0.00813813,0.137001386,0.24452504,-0.693,-0.795,-0.39,-0.345,-0.591,-0.507,-0.349,-0.385,-0.221825351,-0.127810516,-0.072599246,-0.126
YJR121W,-0.229,-0.176763028,-0.262489516,-0.336342072,0.186657928,0.679,0.947765446,0.852909409,0.488694533,0.77416556,0.305005545,0.691041935,0.54,0.13,0.1,0.03,0.14,-0.53,-0.19,-0.04,0.421561742,0.207525884,-0.236112161,-0.241572641
YKL016C,0.221961673,0.539331819,0.231849185,0.606216598,0.482526154,0.783551615,0.785335782,0.579467522,0.736265927,1.047739055,0.413463778,0.707726609,0.07,-0.726,-0.284,-0.118,-0.224,-0.697,-0.775,-0.533,0.361007125,0.358042511,0.381049906,0.068189484
YLR295C,-0.169218514,0.433500087,0.175232183,0.3750785,0.428,0.599,0.560457406,0.726658478,0.454561742,0.555,0.580995441,0.797502547,-0.239,-1.012,-0.691,-0.632,-0.027,-0.633,-0.675,-0.657,0.323010373,-0.024,0.306580607,0.063125109
YDL004W,0.394500394,0.619531278,0.169500087,0.296032058,0.665310461,0.901250469,0.814304422,0.571846103,0.390234271,0.763027042,0.434804407,0.562691387,-0.05,-0.542,-0.494,-0.543,0.18,-0.114,-0.353,-0.598,0.226868075,0.354068246,0.212206087,-0.025308613
YDR298C,0.369491753,0.562697545,0.474086582,0.704032093,0.631010373,0.762334321,0.705105859,0.413228836,0.157,1.031831963,0.51155521,0.554310461,0.088,-0.748,-0.328,-0.304,0.179,-0.465,-0.434,-0.532,0.614961414,0.257956855,0.179067927,-0.015575489
YPR020W,-0.047445553,0.353068393,0.05576208,0.493322367,-0.050190683,0.227762119,0.563817075,0.153546289,0.492216935,0.939279601,0.285325936,0.38905386,-0.783,-1.846,-1.306,-0.968,-0.646,-1.532,-1.247,-1.234,-0.029523814,0.097958971,-0.238393864,-0.491499606
YDL181W,1.01113813,1.829174649,0.844324436,0.435660198,1.178119092,1.937191668,1.466973208,0.752575998,0.319865323,1.026509148,0.477594353,0.807394105,0.132,-0.218,0.427,0.494,-0.031,0.004,0.243,0.384,0.084754628,0.145474655,-0.055150815,-0.380354444
YBR039W,0.208041935,0.47055521,0.229463778,0.464669591,0.492474407,1.144234271,1.28602762,0.99857144,0.309133975,0.417291449,0.206427359,0.586463778,-0.328,-0.69,-0.217,-0.178,-0.507,-0.779,-0.338,-0.322,0.055359009,0.27457859,-0.055291979,-0.181580995
YBL099W,-0.146605797,-0.240718635,-0.398974464,-0.839690661,0.213500087,0.437502166,0.378817605,0.087788251,0.262400754,0.342010373,0.13006016,0.237611269,1.314,0.69,0.619,0.532,0.424,0.25,0.111,0.495,0.456861211,0.256427359,-0.304788497,-0.656983018
YPR155C,0.860221872,0.658125908,0.541330662,-0.233931754,1.121024272,1.70284386,0.7930785,-0.041904377,0.282500394,-0.430004559,0.19418333,0.167167735,-0.126,0.657,1.225,0.967,0.022,0.474,0.873,0.939,-0.104967907,0.04591247,-0.438046909,-0.247445849
