id,condition,scenario,support,achieve,unintended,agency1,agency2,agency3,agency4,agency5,agency6,personalpeople,politics,sex,edu,state,income,hispanic,race,suspicious,comments,notes
19,4,12,5,4,5,4,3,3,4,3,4,5,4,1,8,28,4,2,4,no,good study,
19,4,15,6,4,5,4,3,3,4,3,4,5,4,1,8,28,4,2,4,no,good study,
19,4,16,5,4,5,4,3,3,4,3,4,5,4,1,8,28,4,2,4,no,good study,
20,3,2,3,3,4,4,4,7,7,7,6,6,3,2,9,32,3,2,4,no.,"fun, thanks.",
20,3,3,4,4,4,4,4,7,7,7,6,6,3,2,9,32,3,2,4,no.,"fun, thanks.",
20,3,5,7,7,4,4,4,7,7,7,6,6,3,2,9,32,3,2,4,no.,"fun, thanks.",
20,3,6,4,2,7,4,4,7,7,7,6,6,3,2,9,32,3,2,4,no.,"fun, thanks.",
20,3,8,3,4,3,4,4,7,7,7,6,6,3,2,9,32,3,2,4,no.,"fun, thanks.",
20,3,11,3,3,6,4,4,7,7,7,6,6,3,2,9,32,3,2,4,no.,"fun, thanks.",
20,3,13,2,3,4,4,4,7,7,7,6,6,3,2,9,32,3,2,4,no.,"fun, thanks.",
20,3,16,3,5,6,4,4,7,7,7,6,6,3,2,9,32,3,2,4,no.,"fun, thanks.",
21,4,1,2,1,7,5,5,7,7,7,6,7,2,2,5,33,4,2,3,no,,
21,4,2,5,2,7,5,5,7,7,7,6,7,2,2,5,33,4,2,3,no,,
21,4,6,3,2,7,5,5,7,7,7,6,7,2,2,5,33,4,2,3,no,,
21,4,7,6,6,5,5,5,7,7,7,6,7,2,2,5,33,4,2,3,no,,
21,4,10,2,1,7,5,5,7,7,7,6,7,2,2,5,33,4,2,3,no,,
21,4,12,7,7,2,5,5,7,7,7,6,7,2,2,5,33,4,2,3,no,,
21,4,14,6,4,7,5,5,7,7,7,6,7,2,2,5,33,4,2,3,no,,
21,4,15,7,7,2,5,5,7,7,7,6,7,2,2,5,33,4,2,3,no,,
22,1,1,1,4,7,3,6,6,6,6,6,7,2,1,8,13,3,2,4,No.,,
22,1,4,1,3,6,3,6,6,6,6,6,7,2,1,8,13,3,2,4,No.,,
22,1,5,2,3,5,3,6,6,6,6,6,7,2,1,8,13,3,2,4,No.,,
22,1,6,5,5,5,3,6,6,6,6,6,7,2,1,8,13,3,2,4,No.,,
22,1,10,4,4,3,3,6,6,6,6,6,7,2,1,8,13,3,2,4,No.,,
22,1,11,4,3,6,3,6,6,6,6,6,7,2,1,8,13,3,2,4,No.,,
22,1,15,1,3,5,3,6,6,6,6,6,7,2,1,8,13,3,2,4,No.,,
22,1,16,2,1,7,3,6,6,6,6,6,7,2,1,8,13,3,2,4,No.,,
23,4,1,1,2,7,7,7,7,7,7,7,7,5,2,5,48,4,2,4,"When asked about an EPA policy, retirement savings and control over that was asked which had nothing to do with the EPA",,
23,4,2,2,1,6,7,7,7,7,7,7,7,5,2,5,48,4,2,4,"When asked about an EPA policy, retirement savings and control over that was asked which had nothing to do with the EPA",,
23,4,5,1,3,7,7,7,7,7,7,7,7,5,2,5,48,4,2,4,"When asked about an EPA policy, retirement savings and control over that was asked which had nothing to do with the EPA",,
23,4,7,7,6,3,7,7,7,7,7,7,7,5,2,5,48,4,2,4,"When asked about an EPA policy, retirement savings and control over that was asked which had nothing to do with the EPA",,
23,4,8,1,1,7,7,7,7,7,7,7,7,5,2,5,48,4,2,4,"When asked about an EPA policy, retirement savings and control over that was asked which had nothing to do with the EPA",,
23,4,9,1,1,7,7,7,7,7,7,7,7,5,2,5,48,4,2,4,"When asked about an EPA policy, retirement savings and control over that was asked which had nothing to do with the EPA",,
23,4,13,1,2,7,7,7,7,7,7,7,7,5,2,5,48,4,2,4,"When asked about an EPA policy, retirement savings and control over that was asked which had nothing to do with the EPA",,
23,4,14,6,4,2,7,7,7,7,7,7,7,5,2,5,48,4,2,4,"When asked about an EPA policy, retirement savings and control over that was asked which had nothing to do with the EPA",,
24,1,1,1,1,6,5,6,7,5,7,6,5,2,2,5,43,3,2,4,No,,
24,1,3,6,5,3,5,6,7,5,7,6,5,2,2,5,43,3,2,4,No,,
24,1,4,2,4,7,5,6,7,5,7,6,5,2,2,5,43,3,2,4,No,,
24,1,5,5,6,4,5,6,7,5,7,6,5,2,2,5,43,3,2,4,No,,
24,1,9,1,3,5,5,6,7,5,7,6,5,2,2,5,43,3,2,4,No,,
24,1,10,1,1,7,5,6,7,5,7,6,5,2,2,5,43,3,2,4,No,,
24,1,12,4,3,2,5,6,7,5,7,6,5,2,2,5,43,3,2,4,No,,
24,1,13,5,6,3,5,6,7,5,7,6,5,2,2,5,43,3,2,4,No,,
25,3,1,7,6,2,7,7,7,7,7,7,5,2,2,8,29,3,2,4,no,,
25,3,4,6,5,2,7,7,7,7,7,7,5,2,2,8,29,3,2,4,no,,
25,3,7,7,6,2,7,7,7,7,7,7,5,2,2,8,29,3,2,4,no,,
25,3,9,7,5,2,7,7,7,7,7,7,5,2,2,8,29,3,2,4,no,,
25,3,10,5,3,2,7,7,7,7,7,7,5,2,2,8,29,3,2,4,no,,
25,3,12,7,5,2,7,7,7,7,7,7,5,2,2,8,29,3,2,4,no,,
25,3,14,7,5,2,7,7,7,7,7,7,5,2,2,8,29,3,2,4,no,,
25,3,15,7,6,2,7,7,7,7,7,7,5,2,2,8,29,3,2,4,no,,
26,4,3,4,6,3,5,5,6,7,7,6,6,4,1,8,32,4,2,4,no,no,
26,4,6,3,4,5,5,5,6,7,7,6,6,4,1,8,32,4,2,4,no,no,
26,4,7,3,4,4,5,5,6,7,7,6,6,4,1,8,32,4,2,4,no,no,
26,4,8,2,3,4,5,5,6,7,7,6,6,4,1,8,32,4,2,4,no,no,
26,4,10,1,2,6,5,5,6,7,7,6,6,4,1,8,32,4,2,4,no,no,
26,4,14,6,6,3,5,5,6,7,7,6,6,4,1,8,32,4,2,4,no,no,
26,4,15,2,4,5,5,5,6,7,7,6,6,4,1,8,32,4,2,4,no,no,
26,4,16,3,4,7,5,5,6,7,7,6,6,4,1,8,32,4,2,4,no,no,
27,4,2,5,4,2,7,7,7,7,7,7,6,2,2,5,9,4,2,4,no,,
27,4,5,7,7,3,7,7,7,7,7,7,6,2,2,5,9,4,2,4,no,,
